time	force
115	-0.05574042
231	-0.05574042
347	-0.05574042
463	1.5210378
580	1.5210378
695	1.5210378
812	1.5210378
928	4.1018195
1044	4.1018195
1160	4.1018195
1276	4.1018195
1393	6.418087
1509	6.418087
1625	6.418087
1741	4.974748
1857	4.974748
1974	4.974748
2090	4.974748
2207	3.8866274
2323	3.8866274
2439	3.8866274
2555	3.8866274
2670	4.1203995
2786	4.1203995
2902	4.1203995
3018	4.854315
3134	4.854315
3249	4.854315
3366	4.854315
3481	5.7323112
3598	5.7323112
3714	5.7323112
3829	5.7323112
3946	6.452207
4062	6.452207
4178	6.452207
4294	7.375133
4411	7.375133
4527	7.375133
4643	7.375133
4759	8.245528
4875	8.245528
4990	8.245528
5106	9.151732
5223	9.151732
5339	9.151732
5455	9.151732
5572	10.182424
5687	10.182424
5804	10.182424
5919	10.182424
6036	11.193183
6152	11.193183
6268	11.193183
6384	12.239583
6501	12.239583
6617	12.239583
7979	11.812071
8095	11.812071
8211	11.812071
8328	11.812071
8443	13.977502
8559	13.977502
8676	13.977502
8792	15.579448
8908	15.579448
9024	15.579448
9140	15.579448
9256	16.832594
9372	16.832594
9489	16.832594
9605	16.832594
9721	18.22222
9837	18.22222
9952	18.22222
10068	19.540226
10184	19.540226
10301	19.540226
10417	19.540226
10533	20.980864
10650	20.980864
10766	20.980864
10882	20.980864
10997	22.535345
11113	22.535345
11229	22.535345
11346	24.112968
11463	24.112968
11579	24.112968
11696	24.112968
11812	25.69093
11929	25.69093
12045	25.69093
12162	27.42209
12279	27.42209
12395	27.42209
12512	27.42209
12628	29.31811
12745	29.31811
12861	29.31811
12977	29.31811
13093	31.154335
13209	31.154335
13326	31.154335
13441	33.109642
13558	33.109642
13674	33.109642
13791	33.109642
13908	35.192814
14024	35.192814
14140	35.192814
14256	35.192814
14372	37.264328
14488	37.264328
14604	37.264328
14719	39.457798
14835	39.457798
14951	39.457798
15067	39.457798
15184	41.8092
15299	41.8092
15415	41.8092
15532	44.232555
15648	44.232555
15764	44.232555
15880	44.232555
15997	46.764694
16114	46.764694
16230	46.764694
16347	46.764694
16463	49.446484
16580	49.446484
16697	49.446484
16814	52.066113
16931	52.066113
17047	52.066113
17163	52.066113
17280	54.56058
17396	54.56058
17513	54.56058
17630	54.56058
17746	57.27058
17863	57.27058
17980	57.27058
18097	60.083443
18214	60.083443
18330	60.083443
18446	60.083443
18563	62.880936
18679	62.880936
18796	62.880936
18912	65.64127
19029	65.64127
19146	65.64127
19262	65.64127
19378	68.65024
19494	68.65024
19611	68.65024
19727	68.65024
19842	71.66951
19959	71.66951
20075	71.66951
20191	74.72409
20307	74.72409
20424	74.72409
20540	74.72409
20656	77.95771
20771	77.95771
20888	77.95771
21004	77.95771
21121	81.17579
21237	81.17579
21353	81.17579
21469	84.42427
21585	84.42427
21702	84.42427
21817	84.42427
21933	87.50604
22050	87.50604
22166	87.50604
22282	87.50604
22398	90.74929
22514	90.74929
22631	90.74929
22747	94.070404
22863	94.070404
22980	94.070404
23097	94.070404
23214	97.49591
23330	97.49591
23447	97.49591
23563	100.9155
23680	100.9155
23796	100.9155
23913	100.9155
24029	104.40654
24145	104.40654
24260	104.40654
24376	104.40654
24492	107.788795
24607	107.788795
24723	107.788795
24839	111.391655
24955	111.391655
25071	111.391655
25188	111.391655
25304	114.9859
25420	114.9859
25536	114.9859
25653	114.9859
25768	114.01703
25884	114.01703
26000	114.01703
26116	77.88963
26232	77.88963
26348	77.88963
26464	77.88963
26581	51.0138
26697	51.0138
26814	51.0138
26931	37.85163
27047	37.85163
27164	37.85163
27280	37.85163
27397	30.370422
27514	30.370422
27630	30.370422
27747	30.370422
27863	25.81947
27980	25.81947
28097	25.81947
28214	22.758476
28330	22.758476
28447	22.758476
28563	22.758476
28680	20.707735
28796	20.707735
28913	20.707735
29030	20.707735
29147	19.153759
29263	19.153759
29380	19.153759
29496	18.001621
29612	18.001621
29729	18.001621
29845	18.001621
29961	17.045252
30077	17.045252
30193	17.045252
30309	16.246643
30424	16.246643
30540	16.246643
30656	16.246643
30771	15.733831
30887	15.733831
31004	15.733831
31120	15.733831
31236	15.314596
31353	15.314596
31469	15.314596
31585	15.0531225
31702	15.0531225
31819	15.0531225
31934	15.0531225
32050	14.887422
32167	14.887422
32282	14.887422
32398	14.887422
32514	14.863437
32630	14.863437
32746	14.863437
32861	14.759049
32977	14.759049
33094	14.759049
33209	14.759049
33324	14.61801
33440	14.61801
33556	14.61801
33672	14.61801
33788	14.5455475
33904	14.5455475
34020	14.5455475
34136	14.5718975
34253	14.5718975
34369	14.5718975
34486	14.5718975
34603	14.525109
34719	14.525109
34836	14.525109
34953	14.451633
35070	14.451633
35187	14.451633
35303	14.451633
35419	14.483388
35535	14.483388
35651	14.483388
35767	14.483388
35884	14.439302
36000	14.439302
36116	14.439302
36232	14.396737
36348	14.396737
36464	14.396737
36580	14.396737
36696	14.479165
36812	14.479165
36928	14.479165
37044	14.479165
37160	14.523251
37276	14.523251
37392	14.523251
37508	14.488962
37624	14.488962
37740	14.488962
37856	14.488962
37973	14.623584
38089	14.623584
38206	14.623584
38322	14.623584
38438	14.860058
38553	14.860058
38669	14.860058
38785	15.046198
38901	15.046198
39017	15.046198
39133	15.046198
39250	15.045353
39366	15.045353
39483	15.045353
39599	15.088256
39714	15.088256
39829	15.088256
39944	15.088256
40061	14.929818
40177	14.929818
40293	14.929818
40409	14.929818
40525	14.81952
40641	14.81952
40757	14.81952
40873	14.684391
40989	14.684391
41105	14.684391
41221	14.684391
41338	14.683547
41454	14.683547
41570	14.683547
41687	14.683547
41803	14.753983
41919	14.753983
42035	14.753983
42151	14.630171
42267	14.630171
42381	14.630171
42497	14.630171
42613	14.551797
42730	14.551797
42846	14.551797
42962	14.551797
43078	14.5183525
43194	14.5183525
43310	14.5183525
43426	14.529501
43541	14.529501
43656	14.529501
43773	14.529501
43890	14.489131
44006	14.489131
44123	14.489131
44238	14.468524
44354	14.468524
44470	14.468524
44586	14.468524
44702	14.456532
44818	14.456532
44934	14.456532
45050	14.456532
45168	14.540817
45284	14.540817
45400	14.540817
45517	14.586761
45633	14.586761
45749	14.586761
45864	14.586761
45980	14.704323
46096	14.704323
46212	14.704323
46328	14.704323
46445	14.854653
46561	14.854653
46677	14.854653
46793	14.990119
46909	14.990119
47026	14.990119
47142	14.990119
47258	15.035387
47373	15.035387
47489	15.035387
47605	15.035387
47721	15.030489
47837	15.030489
47953	15.030489
48069	14.999578
48185	14.999578
48301	14.999578
48417	14.999578
48534	14.87222
48650	14.87222
48766	14.87222
48882	14.880666
48999	14.880666
49115	14.880666
49231	14.880666
49347	14.902962
49462	14.902962
49579	14.902962
49695	14.902962
49811	14.990795
49928	14.990795
50043	14.990795
50159	14.962756
50275	14.962756
50391	14.962756
50507	14.962756
50622	14.880496
50739	14.880496
50855	14.880496
50971	14.880496
51086	14.823404
51203	14.823404
51318	14.823404
51435	14.834046
51551	14.834046
51667	14.834046
51783	14.834046
51899	14.873909
52015	14.873909
52131	14.873909
52247	14.873909
52363	14.901948
52479	14.901948
52595	14.901948
52711	14.990119
52827	14.990119
52943	14.990119
53059	14.990119
53175	15.062244
53291	15.062244
53407	15.062244
53524	15.062244
53640	15.0127535
53756	15.0127535
53872	15.0127535
53988	14.96512
54103	14.96512
54220	14.96512
54336	14.96512
54452	14.849248
54567	14.849248
54684	14.849248
54800	14.65517
54916	14.65517
55032	14.65517
55149	14.65517
55265	14.48001
55381	14.48001
55497	14.48001
55614	14.48001
55730	14.372245
55846	14.372245
55961	14.372245
56078	14.182559
56194	14.182559
56310	14.182559
56426	14.182559
56543	14.108407
56659	14.108407
56775	14.108407
56891	14.108407
57007	14.091854
57123	14.091854
57238	14.091854
57354	14.177491
57470	14.177491
57585	14.177491
57701	14.177491
57817	14.206713
57933	14.206713
58049	14.206713
58165	14.206713
58281	14.226982
58397	14.226982
58513	14.226982
58628	14.273433
58745	14.273433
58860	14.273433
58977	14.273433
59092	14.195734
59208	14.195734
59324	14.195734
59440	14.151141
59556	14.151141
59673	14.151141
59789	14.151141
59904	14.107563
60020	14.107563
60137	14.107563
60252	14.107563
60369	14.145737
60484	14.145737
60601	14.145737
60717	14.115839
60834	14.115839
60950	14.115839
61066	14.115839
61182	14.04287
61298	14.04287
61414	14.04287
61529	14.04287
61645	14.183742
61762	14.183742
61877	14.183742
61992	14.152155
62108	14.152155
62224	14.152155
62339	14.152155
62456	14.124116
62572	14.124116
62688	14.124116
62805	14.124116
62921	14.158912
63037	14.158912
63153	14.158912
63270	14.187288
63386	14.187288
63502	14.187288
63619	14.187288
63734	14.127831
63850	14.127831
63966	14.127831
64082	14.026317
64198	14.026317
64314	14.026317
64430	14.026317
64546	13.988649
64662	13.988649
64776	13.988649
64892	13.988649
65009	13.920917
65125	13.920917
65242	13.920917
65358	13.890851
65474	13.890851
65591	13.890851
65707	13.890851
65824	13.800821
65940	13.800821
66057	13.800821
66173	13.800821
66289	13.685118
66405	13.685118
66522	13.685118
66638	13.666537
66756	13.666537
66872	13.666537
66988	13.666537
67105	13.738493
67221	13.738493
67338	13.738493
67454	13.738493
67569	13.809098
67685	13.809098
67801	13.809098
67917	13.757242
68033	13.757242
68148	13.757242
68264	13.757242
68380	13.6712675
68496	13.6712675
68612	13.6712675
68728	11.580156
68844	11.580156
68960	11.580156
69076	11.580156
69192	10.445924
69308	10.445924
69423	10.445924
69540	10.445924
69656	9.590899
69772	9.590899
69887	9.590899
70004	8.893806
70120	8.893806
70236	8.893806
70353	8.893806
70469	8.295526
70585	8.295526
70701	8.295526
70819	8.295526
70934	7.7703834
71050	7.7703834
71166	7.7703834
71282	7.3308787
71398	7.3308787
71515	7.3308787
71631	7.3308787
71747	6.957587
71863	6.957587
71979	6.957587
72095	6.957587
72211	6.6091247
72327	6.6091247
72442	6.6091247
72558	6.3121805
72674	6.3121805
72790	6.3121805
72906	6.3121805
73023	6.042093
73140	6.042093
73256	6.042093
73373	5.811023
73488	5.811023
73605	5.811023
73721	5.811023
73838	5.578603
73953	5.578603
74069	5.578603
74185	5.578603
74301	5.3602014
74417	5.3602014
74533	5.3602014
74650	5.175751
74766	5.175751
74882	5.175751
74998	5.175751
75113	5.00853
75229	5.00853
75347	5.00853
75463	5.00853
75579	4.8582
75695	4.8582
75811	4.8582
75927	4.7115855
76043	4.7115855
76159	4.7115855
76275	4.7115855
76392	4.56058
76508	4.56058
76623	4.56058
76739	4.56058
76856	4.4399776
76971	4.4399776
77087	4.4399776
77202	4.320896
77318	4.320896
77434	4.320896
77550	4.320896
77666	4.213469
77782	4.213469
77898	4.213469
78014	4.1411753
78130	4.1411753
78247	4.1411753
78363	4.1411753
78479	4.0372953
78595	4.0372953
78711	4.0372953
78826	4.0372953
78942	3.9700692
79058	3.9700692
79173	3.9700692
79288	3.8825736
79404	3.8825736
79519	3.8825736
79635	3.8825736
79751	3.7906864
79866	3.7906864
79982	3.7906864
80098	3.7906864
80214	3.7278519
80330	3.7278519
80446	3.7278519
80563	3.6496463
80679	3.6496463
80796	3.6496463
80912	3.6496463
81027	3.5849535
81143	3.5849535
81259	3.5849535
81375	3.5849535
81490	3.5146868
81606	3.5146868
81722	3.5146868
81838	3.4565816
81953	3.4565816
82069	3.4565816
82185	3.4565816
82301	3.3988144
82417	3.3988144
82534	3.3988144
82650	3.3988144
82766	3.3518572
82883	3.3518572
82998	3.3518572
83115	3.2829418
83231	3.2829418
83348	3.2829418
83464	3.2829418
83580	3.2285528
83696	3.2285528
83812	3.2285528
83928	3.18092
84045	3.18092
84161	3.18092
84277	3.18092
84394	3.152543
84509	3.152543
84626	3.152543
84742	3.152543
84858	3.0915663
84974	3.0915663
85090	3.0915663
85207	3.0631895
85323	3.0631895
85440	3.0631895
85557	3.0631895
85674	3.0392041
85790	3.0392041
85905	3.0392041
86022	3.0392041
86138	2.996301
86255	2.996301
86372	2.996301
86487	2.9687686
86603	2.9687686
86719	2.9687686
86835	2.9687686
86951	2.9153929
87068	2.9153929
87183	2.9153929
87300	2.8851578
87417	2.8851578
87532	2.8851578
87649	2.8851578
87765	2.8295865
87882	2.8295865
87998	2.8295865
88114	2.8295865
88230	2.8385386
88345	2.8385386
88460	2.8385386
88576	2.8081348
88692	2.8081348
88807	2.8081348
88923	2.8081348
89039	2.7809403
89155	2.7809403
89271	2.7809403
89387	2.7809403
89504	2.7535768
89620	2.7535768
89739	2.7535768
89854	2.722835
89971	2.722835
90087	2.722835
90203	2.722835
90320	2.7196257
90436	2.7196257
90552	2.7196257
90667	2.7196257
90783	2.6998632
90899	2.6998632
91016	2.6998632
91132	2.6866882
91248	2.6866882
91365	2.6866882
91482	2.6866882
91598	2.6559465
91714	2.6559465
91830	2.6559465
91946	2.63061
92061	2.63061
92177	2.63061
92293	2.63061
92408	2.6142256
92524	2.6142256
92640	2.6142256
92756	2.6142256
92872	2.591085
92989	2.591085
93106	2.591085
93222	2.5828085
93339	2.5828085
93455	2.5828085
93570	2.5828085
93686	2.5466616
93802	2.5466616
93918	2.5466616
94034	2.5466616
94151	2.5201426
94267	2.5201426
94382	2.5201426
94499	2.527237
94614	2.527237
94730	2.527237
94847	2.527237
94962	2.4818
95077	2.4818
95193	2.4818
95309	2.4818
95425	2.5039272
95542	2.5039272
95657	2.5039272
95773	2.4417682
95889	2.4417682
96005	2.4417682
96121	2.4417682
96237	2.4512272
96353	2.4512272
96470	2.4512272
96586	2.4203167
96701	2.4203167
96817	2.4203167
96934	2.4203167
97050	2.3973448
97166	2.3973448
97282	2.3973448
97399	2.3973448
97515	2.3946424
97631	2.3946424